season,team,R,TB,RBI,SB,OBP,K,QS,ERA,WHIP,SVHD
2023,This Ain't No Hobby,725,2167,663,182,.3344,1711,0,3.914,1.271,100
2023,Underground Mole People,732,2211,700,134,.3286,1740,0,4.058,1.249,109
2023,Tax Nation,747,2216,662,144,.3295,1860,0,4.473,1.290,100
2023,The Notorious G.I.B.,762,2308,723,59,.3494,1519,0,3.765,1.200,96
2023,Last Place Champs,797,2428,782,196,.3394,1747,0,4.215,1.266,14
2023,Batt Payne,715,2243,727,109,.3276,1871,0,4.159,1.228,97
2023,You're F****** Out,794,2408,755,141,.3373,2014,0,3.946,1.229,0
2023,Rikers Island,812,2487,817,157,.3196,1487,0,3.969,1.209,115
2023,Mile High And Tight,706,2210,701,81,.3318,1218,0,3.751,1.246,49
2023,Atlanta Cougars,830,2437,775,93,.3475,1159,0,3.909,1.240,111
