Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",15.1432,7.34375,15.1217,2.59012,29.563,29.563,0,0,,189.895,744.914,142.74,58.59,54.65,15.7376,37.0176,0.495495,7.31984,234.867,11.1314,1.75443,6.34474,0.745877,0.315294,0.0496938,0.2656001150608063,0.203747,0.946616,0.282245,0.768221,,,2.43932,6.88317,6.40181,6.5,,,,,,,1175.4,6.186315789473685,1080,5.684210526315789,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13.2352,8.71017,14.4144,3.09995,29.841,29.841,0,0,,184.619,745.607,150.04,67.91,63.59,17.0982,47.4323,0.460957,5.08861,220.066,10.728,2.31228,4.63958,0.833523,0.29515,0.0636157,0.23153457045555115,0.216481,1.06962,0.29159,0.746607,,,2.80856,5.81914,4.95502,10.229999542236328,,,,,,,1053.9,5.696756756756757,988,5.34054054054054,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",14.3515,7.68915,15.2133,3.06984,29.219,29.219,0,0,,187.339,759.053,164.811,69.03,63.9,13.9835,44.1882,0.474127,6.00005,190.769,9.16476,2.12286,4.31718,0.671785,0.251324,0.0582149,0.19310937076807022,0.2325,1.11562,0.299195,0.738927,,,2.87258,5.18717,4.98604,27.68000030517578,,,,,,,1014.5999999999999,5.42566844919786,985,5.267379679144385,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Logan Webb","SFG",13.5616,9.05954,16.1531,3.36016,30.043,30.043,0,0,,194.428,798.07,178.934,78.03,72.59,16.4593,47.5437,0.850019,5.8418,192.992,8.93355,2.20078,4.05927,0.761897,0.241824,0.0595733,0.18225057795643806,0.240281,1.16484,0.303558,0.729707,,,3.07415,5.00526,4.4338,63.77000045776367,,,,,,,997.4000000000002,5.141237113402063,986,5.082474226804123,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Garrett Crochet","BOS",12.7734,8.19012,13.9531,3.25995,28.502,28.502,0,0,,176.8,713.282,146.694,68.88,64.04,20.1634,40.5602,0.511834,5.98464,209.856,10.6827,2.06472,5.17393,1.02642,0.294212,0.0568642,0.23734759911894798,0.220018,1.05913,0.289731,0.744373,,,3.03359,4.98769,4.28494,11.270000457763672,,,,,,,960.5999999999999,5.4271186440677965,904,5.107344632768362,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Chris Sale","ATL",10.8041,7.40656,12.0991,3.57979,25.052,25.052,0,0,,153.336,632.705,127.7,65.36,60.99,16.5721,41.0216,0.405486,11.7494,199.538,11.7118,2.40775,4.86421,0.972694,0.315372,0.0648353,0.2505370229482651,0.220198,1.10034,0.305445,0.710289,,,2.96998,4.38904,3.10414,38.36000061035156,,,,,,,831.3000000000002,5.4333333333333345,785,5.130718954248366,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Bryan Woo","SEA",13.1023,8.48003,14.566,3.38992,29.306,29.306,0,0,,182.553,731.992,150.551,73.36,68.76,24.2356,36.6812,0.492436,7.37077,188.036,9.27033,1.80841,5.12623,1.19483,0.256883,0.0501115,0.2067715786397457,0.218844,1.02563,0.265554,0.742795,,,3.52486,4.34386,4.24524,39.13999938964844,,,,,,,910.4,4.974863387978142,847,4.628415300546448,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Hunter Greene","CIN",10.8211,9.03953,12.7294,3.59014,27.716,27.716,0,0,,165.754,676.822,133.53,70.54,66.12,21.8566,47.5417,0.441846,6.6256,209.254,11.3619,2.58139,4.40148,1.18675,0.309171,0.0702425,0.23892811685800552,0.214453,1.09241,0.285212,0.734564,,,3.30485,4.29967,3.31395,43.72999954223633,,,,,,,862.4000000000002,5.195180722891568,797,4.801204819277109,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Dylan Cease","TOR",12.5909,8.32004,12.8036,3.37017,29.436,29.436,0,0,,172.727,709.16,133.37,69.19,64.68,18.9078,63.8072,0.591681,4.50066,204.123,10.6359,3.3247,3.19906,0.985195,0.287838,0.0899758,0.19786232709884644,0.208113,1.14155,0.27395,0.74975,,,3.38106,4.25053,4.00902,78.55000305175781,,,,,,,901.7,5.2121387283236995,819,4.734104046242774,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Max Fried","NYY",13.5228,7.59267,14.2546,3.23975,28.454,28.454,0,0,,178.486,734.703,150.405,69.06,64.25,14.4014,54.83,0.46722,9.31223,171.7,8.65785,2.76475,3.13151,0.726178,0.2337,0.0746287,0.159071683883667,0.224297,1.14987,0.280732,0.73579,,,3.3382,4.21079,4.35878,54.59000015258789,,,,,,,907,5.095505617977528,860,4.831460674157303,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Jesús Luzardo","PHI",11.8951,8.86566,13.3321,3.68022,29.034,29.034,0,0,,173.264,717.636,150.939,76.48,70.85,20.5426,50.9693,0.484188,6.95977,191.721,9.95874,2.64754,3.76151,1.06706,0.267157,0.0710239,0.19613289833068848,0.228797,1.16532,0.291426,0.724396,,,3.46641,3.98276,3.2353,75.91000366210938,,,,,,,839.3000000000001,4.851445086705203,802,4.635838150289017,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Yoshinobu Yamamoto","LAD",12.8816,6.249,12.3218,3.35988,26.35,26.35,0,0,,159.702,654.212,132.132,63.84,59.62,15.8973,51.2155,0.38617,4.07902,177.183,9.98515,2.88625,3.45956,0.89589,0.270834,0.0782857,0.19254855811595917,0.220618,1.14806,0.286407,0.741862,,,3.24898,3.83283,3.68963,26.5,,,,,,,833,5.20625,781,4.88125,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Cole Ragans","KCR",10.4292,7.80427,11.1217,3.39018,25.705,25.705,0,0,,150.417,613.708,114.021,60.42,56.66,18.9208,49.0055,0.492242,6.83572,190.268,11.3844,2.93218,3.88259,1.1321,0.31003,0.0798514,0.2301788106560707,0.204387,1.08383,0.272744,0.751489,,,3.35425,3.82687,3.45387,45.63999938964844,,,,,,,791.9,5.279333333333333,715,4.766666666666667,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Framber Valdez","DET",12.7909,8.56839,15.2618,3.33019,28.348,28.348,0,0,,183.692,758.4,158.114,73.39,67.97,14.0107,58.632,0.505658,9.85316,167.352,8.19944,2.87268,2.85429,0.686454,0.220665,0.0773101,0.14335501939058304,0.229179,1.17994,0.28336,0.727211,,,3.42306,3.81396,4.31833,97.05000305175781,,,,,,,905.6000000000001,4.9217391304347835,865,4.701086956521739,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Logan Gilbert","SEA",11.4085,8.41563,12.4229,3.57,27.857,27.857,0,0,,164.496,663.026,133.641,69.85,65.25,24.485,38.7732,0.519052,6.07168,200.308,10.9593,2.12138,5.16613,1.33964,0.302111,0.0584792,0.2436319924890995,0.216184,1.04813,0.277476,0.742491,,,3.45262,3.7946,3.28932,32.90999984741211,,,,,,,835.0000000000001,5.091463414634147,773,4.713414634146342,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
