,Player,Team,Elig. Pos.,Pos. Rank,ADP,,,
1,Shohei Ohtani,NYM,DH/SP,DH1,1.4,,,
2,Aaron Judge,NYY,OF/DH,OF1,2.3,,,
3,Juan Soto,PIT,OF,OF2,4.8,,,
4,Paul Skenes,SD,SP,SP3,5.0,,,
5,Tarik Skubal,DET,SP,SP2,5.8,,,
6,Jose Ramirez,CLE,3B/DH,3B1,6.2,,,
7,Bobby Witt Jr.,KC,SS,SS1,7.2,,,
8,Garrett Crochet,BOS,SP,SP1,9.3,,,
9,Ronald Acuna Jr.,CHC,OF,OF4,10.7,,,
10,Cal Raleigh,SEA,C/DH,C1,11.2,,,
11,Kyle Tucker,NYM,OF,OF3,11.8,,,
12,Yoshinobu Yamamoto,NYM,SP,SP4,14.5,,,
13,Fernando Tatis Jr.,WAS,OF,OF5,14.9,,,
14,Ketel Marte,TB,2B/DH,2B1,15.3,,,
15,Vladimir Guerrero Jr.,ATL,1B/DH,1B1,16.0,,,
16,Corbin Carroll,TB,OF,OF7,20.1,,,
17,Junior Caminero,TOR,3B,3B2,20.3,,,
18,Kyle Schwarber,STL,DH,DH2,21.9,,,
19,Logan Gilbert,SEA,SP,SP9,22.6,,,
20,Cristopher Sanchez,STL,SP,SP6,24.3,,,
21,Julio Rodriguez,SEA,OF,OF6,24.4,,,
22,Gunnar Henderson,BAL,SS,SS4,25.0,,,
23,Logan Webb,ARI,SP,SP7,26.1,,,
24,Manny Machado,WAS,3B,3B3,26.3,,,
25,Bryan Woo,SEA,SP,SP8,27.1,,,
26,Francisco Lindor,PIT,SS,SS2,27.5,,,
27,Max Fried,NYY,SP,SP5,30.4,,,
28,Hunter Brown,LAD,SP,SP10,33.1,,,
29,Elly De La Cruz,HOU,SS,SS5,33.9,,,
30,Alex Bregman,CIN,3B,3B4,35.6,,,
31,William Contreras,MIL,C/DH,C2,35.8,,,
32,Yordan Alvarez,LAD,DH/OF,DH3,36.6,,,
33,Chris Sale,CHC,SP,SP12,37.8,,,
34,Freddy Peralta,PIT,SP,SP11,38.7,,,
35,Mookie Betts,NYM,SS,SS3,39.3,,,
36,Mason Miller,WAS,RP,RP2,39.8,,,
37,Edwin Diaz,NYM,RP,RP1,42.1,,,
38,Hunter Greene,HOU,SP,SP13,43.3,,,
39,Jackson Chourio,MIL,OF,OF9,47.1,,,
40,Framber Valdez,DET,SP,SP14,47.1,,,
41,Cody Bellinger,NYY,OF,OF8,48.2,,,
42,Brent Rooker,OAK,DH/OF,DH4,49.9,,,
43,Pete Alonso,BAL,1B,1B2,52.3,,,
44,Andres Munoz,SEA,RP,RP4,52.4,,,
45,Cade Smith,CLE,RP,RP3,52.6,,,
46,Jacob deGrom,TEX,SP,SP15,53.5,,,
47,Nico Hoerner,CIN,2B,2B2,54.5,,,
48,Jazz Chisholm Jr.,NYY,2B/3B,2B3,54.6,,,
49,Jhoan Duran,STL,RP,RP5,56.5,,,
50,Pete Crow-Armstrong,CIN,OF,OF11,57.2,,,
51,Jose Altuve,LAD,2B/OF/DH,2B4,58.0,,,
52,Jesus Luzardo,STL,SP,SP18,58.2,,,
53,Joe Ryan,MIN,SP,SP16,58.5,,,
54,Cole Ragans,KC,SP,SP19,59.4,,,
55,Matt Olson,CHC,1B,1B3,61.0,,,
56,Jarren Duran,BOS,OF,OF10,61.8,,,
57,Nick Kurtz,OAK,1B,1B5,62.1,,,
58,Ben Rice,NYY,1B/C/DH,1B4,62.8,,,
59,George Kirby,SEA,SP,SP17,65.5,,,
60,Aroldis Chapman,BOS,RP,RP6,69.9,,,
61,Geraldo Perdomo,TB,SS,SS6,69.9,,,
62,Blake Snell,NYM,SP,SP22,74.4,,,
63,Austin Riley,CHC,3B,3B5,75.1,,,
64,George Springer,ATL,DH/OF,DH5,75.3,,,
65,Bryce Harper,STL,1B,1B6,75.6,,,
66,Jackson Merrill,WAS,OF,OF12,75.8,,,
67,Roman Anthony,BOS,OF,OF14,76.2,,,
68,Nick Pivetta,WAS,SP,SP21,77.0,,,
69,Steven Kwan,CLE,OF,OF13,78.8,,,
70,Dylan Cease,ATL,SP,SP20,79.1,,,
71,Freddie Freeman,NYM,1B,1B7,81.4,,,
72,Devin Williams,PIT,RP,RP7,82.9,,,
73,Trea Turner,STL,SS,SS7,83.2,,,
74,David Bednar,NYY,RP,RP8,84.0,,,
75,Kevin Gausman,ATL,SP,SP23,84.5,,,
76,Brice Turang,MIL,2B,2B5,86.0,,,
77,Shea Langeliers,OAK,C,C4,86.1,,,
78,Will Smith,NYM,C,C3,86.7,,,
79,Rafael Devers,ARI,DH/1B,DH6,91.6,,,
80,Spencer Strider,CHC,SP,SP26,96.0,,,
81,Zack Wheeler,STL,SP,SP25,96.3,,,
82,Sonny Gray,BOS,SP,SP24,96.6,,,
83,James Wood,PHI,OF/DH,OF15,99.5,,,
84,Josh Naylor,SEA,1B/DH,1B8,99.7,,,
85,Ozzie Albies,CHC,2B,2B6,102.2,,,
86,Vinnie Pasquantino,KC,1B/DH,1B9,103.0,,,
87,Raisel Iglesias,CHC,RP,RP10,103.6,,,
88,Wyatt Langford,TEX,OF,OF16,104.5,,,
89,Seiya Suzuki,CIN,DH/OF,DH7,107.0,,,
90,Kyle Bradish,BAL,SP,SP30,107.8,,,
91,Maikel Garcia,KC,3B,3B6,107.9,,,
92,Christian Yelich,MIL,DH,DH8,109.2,,,
93,Eugenio Suarez,HOU,3B,3B7,109.3,,,
94,Luis Castillo,SEA,SP,SP27,112.0,,,
95,Nathan Eovaldi,TEX,SP,SP28,115.0,,,
96,Corey Seager,TEX,SS,SS9,116.0,,,
97,Bo Bichette,PIT,SS,SS8,117.2,,,
98,Drake Baldwin,CHC,C,C5,117.8,,,
99,Randy Arozarena,SEA,OF,OF17,118.7,,,
100,Josh Hader,LAD,RP,RP9,120.3,,,
101,Salvador Perez,KC,C/1B/DH,C6,121.8,,,
102,Carlos Estevez,KC,RP,RP11,122.2,,,
103,Ryan Pepiot,TOR,SP,SP32,123.8,,,
104,Brandon Nimmo,TEX,OF,OF19,125.6,,,
105,Brandon Woodruff,MIL,SP,SP33,125.8,,,
106,Riley Greene,DET,OF/DH,OF18,126.1,,,
107,Tyler Glasnow,NYM,SP,SP29,126.5,,,
108,Chase Burns,HOU,SP,SP34,126.8,,,
