,Player,Team,Elig. Pos.,Pos. Rank,Status,,,
1,Shohei Ohtani,LAD,DH/SP,DH1,,,,
2,Aaron Judge,NYY,OF,OF1,,,,
3,Juan Soto,NYM,OF,OF2,,,,
4,Paul Skenes,PIT,SP,SP1,,,,
5,Tarik Skubal,DET,SP,SP2,,,,
6,José Ramírez,CLE,3B,3B1,,,,
7,Bobby Witt Jr.,KC,SS,SS1,,,,
8,Garrett Crochet,BOS,SP,SP3,,,,
9,Ronald Acuña Jr.,ATL,OF,OF3,,,,
10,Cal Raleigh,SEA,C,C1,,,,
11,Kyle Tucker,CHC,OF,OF4,,,,
12,Yoshinobu Yamamoto,LAD,SP,SP4,,,,
13,Fernando Tatis Jr.,SD,OF,OF5,,,,
14,Ketel Marte,ARI,2B,2B1,,,,
15,Vladimir Guerrero Jr.,TOR,1B,1B1,,,,
16,Corbin Carroll,ARI,OF,OF6,,,,
17,Junior Caminero,TB,3B,3B2,,,,
18,Kyle Schwarber,PHI,DH,DH2,,,,
19,Logan Gilbert,SEA,SP,SP5,,,,
20,Cristopher Sánchez,PHI,SP,SP6,,,,
21,Julio Rodríguez,SEA,OF,OF7,,,,
22,Gunnar Henderson,BAL,SS,SS2,,,,
23,Manny Machado,SD,3B,3B3,,,,
24,Logan Webb,SF,SP,SP7,,,,
25,Bryan Woo,SEA,SP,SP8,,,,
26,Francisco Lindor,NYM,SS,SS3,,,,
27,Max Fried,NYY,SP,SP9,,,,
28,Hunter Brown,HOU,SP,SP10,,,,
29,Elly De La Cruz,CIN,SS,SS4,,,,
30,Alex Bregman,BOS,3B,3B4,,,,
31,William Contreras,MIL,C,C2,,,,
32,Yordan Alvarez,HOU,OF,OF8,,,,
33,Chris Sale,ATL,SP,SP11,,,,
34,Freddy Peralta,MIL,SP,SP12,,,,
35,Mookie Betts,LAD,SS,SS5,,,,
36,Mason Miller,OAK,SP,SP13,,,,
37,Edwin Díaz,NYM,SP,SP14,,,,
38,Hunter Greene,CIN,SP,SP15,,,,
39,Jackson Chourio,MIL,OF,OF9,,,,
40,Framber Valdez,HOU,SP,SP16,,,,
41,Cody Bellinger,NYY,OF,OF10,,,,
42,Brent Rooker,OAK,OF,OF11,,,,
43,Pete Alonso,NYM,1B,1B2,,,,
44,Andrés Muñoz,SEA,SP,SP17,,,,
45,Cade Smith,CLE,SP,SP18,,,,
46,Jacob deGrom,TEX,SP,SP19,,,,
47,Nico Hoerner,CHC,2B,2B2,,,,
48,Jazz Chisholm Jr.,NYY,2B/3B,2B3,,,,
49,Jhoan Duran,MIN,SP,SP20,,,,
50,Pete Crow-Armstrong,CHC,OF,OF12,,,,
51,Joe Ryan,MIN,SP,SP21,,,,
52,Jose Altuve,HOU,2B/OF,2B4,,,,
53,Jesús Luzardo,PHI,SP,SP22,,,,
54,Cole Ragans,KC,SP,SP23,,,,
55,Matt Olson,ATL,1B,1B3,,,,
56,Nick Kurtz,OAK,1B,1B4,,,,
57,Jarren Duran,BOS,OF,OF13,,,,
58,Ben Rice,NYY,1B/C,1B5,,,,
59,George Kirby,SEA,SP,SP24,,,,
60,Geraldo Perdomo,ARI,SS,SS6,,,,
61,Aroldis Chapman,BOS,SP,SP25,,,,
62,Blake Snell,LAD,SP,SP26,,,,
63,George Springer,TOR,OF,OF14,,,,
64,Bryce Harper,PHI,1B,1B6,,,,
65,Austin Riley,ATL,3B,3B5,,,,
66,Roman Anthony,BOS,OF,OF15,,,,
67,Jackson Merrill,SD,OF,OF16,,,,
68,Nick Pivetta,SD,SP,SP27,,,,
69,Steven Kwan,CLE,OF,OF17,,,,
70,Dylan Cease,SD,SP,SP28,,,,
71,Freddie Freeman,LAD,1B,1B7,,,,
72,Trea Turner,PHI,SS,SS7,,,,
73,Devin Williams,NYY,SP,SP29,,,,
74,David Bednar,PIT,SP,SP30,,,,
75,Kevin Gausman,TOR,SP,SP31,,,,
76,Brice Turang,MIL,2B,2B5,,,,
77,Shea Langeliers,OAK,C,C3,,,,
78,Will Smith,LAD,C,C4,,,,
79,Rafael Devers,SF,1B,1B8,,,,
80,Spencer Strider,ATL,SP,SP32,,,,
81,Zack Wheeler,PHI,SP,SP33,,,,
82,Sonny Gray,STL,SP,SP34,,,,
83,James Wood,WSH,OF,OF18,,,,
84,Josh Naylor,SEA,1B,1B9,,,,
85,Vinnie Pasquantino,KC,1B,1B10,,,,
86,Ozzie Albies,ATL,2B,2B6,,,,
87,Raisel Iglesias,ATL,SP,SP35,,,,
88,Wyatt Langford,TEX,OF,OF19,,,,
89,Seiya Suzuki,CHC,OF,OF20,,,,
90,Maikel Garcia,KC,3B,3B6,,,,
91,Kyle Bradish,BAL,SP,SP36,,,,
92,Eugenio Suárez,SEA,3B,3B7,,,,
93,Christian Yelich,MIL,DH,DH3,,,,
94,Luis Castillo,SEA,SP,SP37,,,,
95,Corey Seager,TEX,SS,SS8,,,,
96,Nathan Eovaldi,TEX,SP,SP38,,,,
97,Bo Bichette,TOR,SS,SS9,,,,
98,Drake Baldwin,ATL,C,C5,,,,
99,Randy Arozarena,SEA,OF,OF21,,,,
100,Josh Hader,HOU,SP,SP39,,,,
101,Salvador Perez,KC,C/1B,C6,,,,
102,Carlos Estévez,KC,SP,SP40,,,,
103,Ryan Pepiot,TB,SP,SP41,,,,
104,Brandon Woodruff,MIL,SP,SP42,,,,
105,Brandon Nimmo,NYM,OF,OF22,,,,
106,Riley Greene,DET,OF,OF23,,,,
107,Chase Burns,CIN,SP,SP43,,,,
108,Tyler Glasnow,LAD,SP,SP44,,,,
109,Jacob Misiorowski,MIL,SP,SP45,,,,
110,Trevor Megill,MIL,SP,SP46,,,,
111,Byron Buxton,MIN,OF,OF24,,,,
112,Adley Rutschman,BAL,C,C7,,,,
113,Tyler Soderstrom,OAK,1B/OF,1B11,,,,
114,Taylor Ward,LAA,OF,OF25,,,,
115,Gleyber Torres,DET,2B,2B7,,,,
116,Agustín Ramírez,MIA,C,C8,,,,
117,Matt Chapman,SF,3B,3B8,,,,
118,Eury Pérez,MIA,SP,SP47,,,,
119,Jurickson Profar,ATL,OF,OF26,,,,
120,Emilio Pagán,CIN,SP,SP48,,,,
121,Pete Fairbanks,TB,SP,SP49,,,,
122,Ranger Suárez,PHI,SP,SP50,,,,
123,Ian Happ,CHC,OF,OF27,,,,
124,Zac Gallen,ARI,SP,SP51,,,,
125,Tanner Bibee,CLE,SP,SP52,,,,
126,Nolan McLean,NYM,SP,SP53,,,,
127,Hunter Goodman,COL,C,C9,,,,
128,Jeff Hoffman,TOR,SP,SP54,,,,
129,Ryan Helsley,STL,SP,SP55,,,,
130,Luke Keaschall,MIN,2B,2B8,,,,
131,Kenley Jansen,LAA,SP,SP56,,,,
132,Willy Adames,SF,SS,SS10,,,,
133,MacKenzie Gore,WSH,SP,SP57,,,,
134,Yainer Diaz,HOU,C,C10,,,,
135,Teoscar Hernández,LAD,OF,OF28,,,,
136,Cam Schlittler,NYY,SP,SP58,,,,
137,Marcus Semien,TEX,2B,2B9,,,,
138,Jeremy Peña,HOU,SS,SS11,,,,
139,Gavin Williams,CLE,SP,SP59,,,,
140,Michael King,SD,SP,SP60,,,,
141,Nick Lodolo,CIN,SP,SP61,,,,
142,Michael Harris II,ATL,OF,OF29,,,,
143,Andy Pages,LAD,OF,OF30,,,,
144,Jacob Wilson,OAK,SS,SS12,,,,
145,Daniel Palencia,CHC,SP,SP62,,,,
146,Bryan Abreu,HOU,SP,SP63,,,,
